City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
239,Ostrovnoy,68.0531,39.5131,2.25,98,99,7.85,overcast clouds,RU,2022-01-30 18:43:12
240,Lucea,18.451,-78.1736,73.26,76,100,17.65,overcast clouds,JM,2022-01-30 18:43:12
241,Eyl,7.9803,49.8164,75.33,75,100,15.93,overcast clouds,SO,2022-01-30 18:43:13
242,Eirunepe,-6.6603,-69.8736,91.9,42,70,5.35,broken clouds,BR,2022-01-30 18:43:13
243,Norman Wells,65.282,-126.8329,-32.76,68,40,2.3,scattered clouds,CA,2022-01-30 18:41:52
244,Provideniya,64.3833,-173.3,4.6,81,1,7.67,clear sky,RU,2022-01-30 18:43:13
245,Mount Isa,-20.7333,139.5,74.97,100,100,6.91,overcast clouds,AU,2022-01-30 18:43:14
246,Neuquen,-38.9516,-68.0591,80.49,18,0,12.66,clear sky,AR,2022-01-30 18:43:14
247,Dukat,62.55,155.55,-18.02,100,46,5.37,scattered clouds,RU,2022-01-30 18:43:14
248,Jabinyanah,35.035,10.9081,53.4,49,0,10.33,clear sky,TN,2022-01-30 18:43:15
249,Pemberton,50.3164,-122.8027,37.09,99,100,5.5,overcast clouds,CA,2022-01-30 18:43:15
250,Camacha,33.0833,-16.3333,62.53,82,40,18.41,scattered clouds,PT,2022-01-30 18:43:15
251,Itarema,-2.9248,-39.9167,76.08,84,100,11.12,overcast clouds,BR,2022-01-30 18:43:15
252,San Quintin,30.4833,-115.95,63.46,48,0,6.26,clear sky,MX,2022-01-30 18:43:16
253,Northam,51.0333,-4.2167,48.61,95,98,19.91,overcast clouds,GB,2022-01-30 18:43:16
254,Poum,-20.2333,164.0167,79.72,78,100,8.5,overcast clouds,NC,2022-01-30 18:43:16
255,Nara,34.6851,135.8049,36.97,68,76,2.68,broken clouds,JP,2022-01-30 18:43:17
256,Drumheller,51.4617,-112.7101,38.28,74,95,5.75,overcast clouds,CA,2022-01-30 18:43:17
257,Phan Thiet,10.9333,108.1,74.68,83,100,6.93,overcast clouds,VN,2022-01-30 18:39:54
